date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_rolling_goals,away_rolling_goals,home_rank,away_rank,home_points,away_points,rank_diff,average_rank,point_diff,is_friendly,goals_rolling_diff,target
2023-03-23,Argentina,Panama,2.0,0.0,Friendly,Buenos Aires,Argentina,False,0.0,1.0,2.0,61.0,1838.38,1391.7,-59.0,31.5,446.68000000000006,1,-1.0,1
2023-03-23,Hong Kong,Singapore,1.0,1.0,Friendly,Hong Kong,Hong Kong,False,0.0,1.5,146.0,160.0,1062.39,1006.1,-14.0,153.0,56.29000000000008,1,-1.5,0
2023-03-23,Hungary,Estonia,1.0,0.0,Friendly,Budapest,Hungary,False,0.0,1.0,36.0,109.0,1493.33,1186.27,-73.0,72.5,307.05999999999995,1,-1.0,1
2023-03-23,Malaysia,Turkmenistan,1.0,0.0,Friendly,Johor Bahru,Malaysia,False,2.0,0.0,145.0,135.0,1066.6,1100.47,10.0,140.0,-33.87000000000012,1,2.0,1
2023-03-23,New Zealand,China PR,0.0,0.0,Friendly,Auckland,New Zealand,False,0.0,0.0,105.0,80.0,1193.98,1305.06,25.0,92.5,-111.07999999999993,1,0.0,0
2023-03-23,IR Iran,Russia,1.0,1.0,Friendly,Tehran,Iran,False,0.0,0.0,24.0,37.0,1551.73,1491.26,-13.0,30.5,60.47000000000003,1,0.0,0
2023-03-23,Madagascar,Central African Republic,0.0,3.0,African Cup of Nations qualification,Antananarivo,Madagascar,False,0.0,0.0,102.0,132.0,1200.74,1116.97,-30.0,117.0,83.76999999999998,0,0.0,0
2023-03-23,Ghana,Angola,1.0,0.0,African Cup of Nations qualification,Kumasi,Ghana,False,0.0,0.0,58.0,117.0,1400.02,1158.81,-59.0,87.5,241.21000000000004,0,0.0,1
2023-03-23,Algeria,Niger,2.0,1.0,African Cup of Nations qualification,Algiers,Algeria,False,0.0,0.0,40.0,122.0,1486.72,1148.53,-82.0,81.0,338.19000000000005,0,0.0,1
2023-03-23,Congo,South Sudan,1.0,2.0,African Cup of Nations qualification,Brazzaville,Congo,False,0.0,0.0,99.0,165.0,1208.79,983.99,-66.0,132.0,224.79999999999995,0,0.0,0
2023-03-23,Solomon Islands,Vanuatu,2.0,0.0,Friendly,Lautoka,Fiji,True,0.0,2.0,136.0,164.0,1095.7,985.62,-28.0,150.0,110.08000000000004,1,-2.0,1
2023-03-24,Moldova,Faroe Islands,1.0,1.0,UEFA Euro qualification,Chișinău,Moldova,False,0.0,0.0,174.0,123.0,958.88,1146.31,51.0,148.5,-187.42999999999995,0,0.0,0
2023-03-24,Senegal,Mozambique,5.0,1.0,African Cup of Nations qualification,Diamniadio,Senegal,False,0.0,0.0,19.0,114.0,1603.98,1163.56,-95.0,66.5,440.4200000000001,0,0.0,1
2023-03-24,South Africa,Liberia,2.0,2.0,African Cup of Nations qualification,Johannesburg,South Africa,False,0.0,0.0,67.0,150.0,1350.36,1049.66,-83.0,108.5,300.6999999999998,0,0.0,0
2023-03-24,Gibraltar,Greece,0.0,3.0,UEFA Euro qualification,Faro-Loulé,Portugal,True,0.0,0.0,200.0,51.0,858.04,1433.59,149.0,125.5,-575.55,0,0.0,0
2023-03-24,France,Netherlands,4.0,0.0,UEFA Euro qualification,Paris,France,False,0.0,0.0,3.0,6.0,1823.39,1740.92,-3.0,4.5,82.47000000000003,0,0.0,1
2023-03-24,Czechia,Poland,3.0,1.0,UEFA Euro qualification,Prague,Czech Republic,False,0.0,0.0,38.0,22.0,1490.61,1559.83,16.0,30.0,-69.22000000000003,0,0.0,1
2023-03-24,Austria,Azerbaijan,4.0,1.0,UEFA Euro qualification,Pasching,Austria,False,0.0,0.0,34.0,121.0,1497.24,1151.82,-87.0,77.5,345.4200000000001,0,0.0,1
2023-03-24,Belize,Guatemala,1.0,2.0,CONCACAF Nations League,Belmopan,Belize,False,0.0,1.0,176.0,119.0,950.88,1157.56,57.0,147.5,-206.67999999999995,0,-1.0,0
2023-03-24,Bulgaria,Montenegro,0.0,1.0,UEFA Euro qualification,Razgrad,Bulgaria,False,0.0,0.0,71.0,69.0,1336.71,1339.15,2.0,70.0,-2.4400000000000546,0,0.0,0
2023-03-24,Serbia,Lithuania,2.0,0.0,UEFA Euro qualification,Belgrade,Serbia,False,2.0,0.0,29.0,144.0,1526.46,1069.12,-115.0,86.5,457.34000000000015,0,2.0,1
2023-03-24,Grenada,United States,1.0,7.0,CONCACAF Nations League,St. George's,Grenada,False,1.5,0.5,173.0,100.0,963.72,0.0,73.0,136.5,963.72,0,1.0,0
2023-03-24,Bahamas,Trinidad and Tobago,0.0,3.0,CONCACAF Nations League,Nassau,Bahamas,False,0.0,0.5,203.0,104.0,854.8,1195.29,99.0,153.5,-340.49,0,-0.5,0
2023-03-24,Nicaragua,St Vincent and the Grenadines,4.0,1.0,CONCACAF Nations League,Managua,Nicaragua,False,0.0,0.0,142.0,178.0,1071.74,945.25,-36.0,160.0,126.49000000000001,0,0.0,1
2023-03-24,Anguilla,St Lucia,1.0,2.0,CONCACAF Nations League,The Valley,Anguilla,False,0.0,1.0,210.0,172.0,790.74,964.73,38.0,191.0,-173.99,0,-1.0,0
2023-03-24,Tunisia,Libya,3.0,0.0,African Cup of Nations qualification,Radès,Tunisia,False,0.0,0.0,30.0,120.0,1526.2,1156.74,-90.0,75.0,369.46000000000004,0,0.0,1
2023-03-24,Sweden,Belgium,0.0,3.0,UEFA Euro qualification,Stockholm,Sweden,False,2.0,0.0,23.0,4.0,1558.45,1781.3,19.0,13.5,-222.8499999999999,0,2.0,0
2023-03-24,Equatorial Guinea,Botswana,2.0,0.0,African Cup of Nations qualification,Malabo,Equatorial Guinea,False,0.0,0.0,98.0,149.0,1215.66,1054.43,-51.0,123.5,161.23000000000002,0,0.0,1
2023-03-24,Guinea,Ethiopia,2.0,0.0,African Cup of Nations qualification,Casablanca,Morocco,True,0.0,1.0,83.0,138.0,1290.47,1091.19,-55.0,110.5,199.27999999999997,0,-1.0,1
2023-03-24,Côte d'Ivoire,Comoros,3.0,1.0,African Cup of Nations qualification,Bouaké,Ivory Coast,False,0.0,0.0,47.0,129.0,1441.49,1123.18,-82.0,88.0,318.30999999999995,0,0.0,1
2023-03-24,Australia,Ecuador,3.0,1.0,Friendly,Sydney,Australia,False,0.0,0.0,27.0,41.0,1533.97,1477.32,-14.0,34.0,56.65000000000009,1,0.0,1
2023-03-24,Japan,Uruguay,1.0,1.0,Friendly,Tokyo,Japan,False,0.0,0.0,20.0,16.0,1593.08,1627.45,4.0,18.0,-34.37000000000012,1,0.0,0
2023-03-24,Kuwait,Philippines,2.0,0.0,Friendly,Kuwait City,Kuwait,False,0.5,2.0,148.0,134.0,1056.64,1113.15,14.0,141.0,-56.50999999999999,1,-1.5,1
2023-03-24,Saudi Arabia,Venezuela,1.0,2.0,Friendly,Jeddah,Saudi Arabia,False,1.0,0.0,49.0,55.0,1438.13,1406.1,-6.0,52.0,32.0300000000002,1,1.0,0
2023-03-24,Tahiti,New Caledonia,2.0,1.0,Friendly,Pirae,Tahiti,False,0.0,2.0,162.0,161.0,995.11,995.58,1.0,161.5,-0.4700000000000273,1,-2.0,1
2023-03-24,Uzbekistan,Bolivia,1.0,0.0,Friendly,Jeddah,Saudi Arabia,True,0.0,0.0,77.0,82.0,1312.64,1294.96,-5.0,79.5,17.680000000000064,1,0.0,1
2023-03-24,Nigeria,Guinea-Bissau,0.0,1.0,African Cup of Nations qualification,Abuja,Nigeria,False,0.0,0.0,35.0,118.0,1494.32,1158.77,-83.0,76.5,335.54999999999995,0,0.0,0
2023-03-24,Korea Republic,Colombia,2.0,2.0,Friendly,Ulsan,South Korea,False,0.0,0.0,25.0,17.0,1539.49,1612.78,8.0,21.0,-73.28999999999996,1,0.0,0
2023-03-24,Burkina Faso,Togo,1.0,0.0,African Cup of Nations qualification,Marrakech,Morocco,True,0.0,0.0,50.0,127.0,1434.81,1128.92,-77.0,88.5,305.8899999999999,0,0.0,1
2023-03-24,Cameroon,Namibia,1.0,1.0,African Cup of Nations qualification,Yaoundé,Cameroon,False,0.0,0.0,33.0,113.0,1499.3,1164.13,-80.0,73.0,335.16999999999985,0,0.0,0
2023-03-24,Congo DR,Mauritania,3.0,1.0,African Cup of Nations qualification,Douala,Cameroon,True,0.0,0.0,73.0,103.0,1333.92,1197.58,-30.0,88.0,136.34000000000015,0,0.0,1
2023-03-24,Egypt,Malawi,2.0,0.0,African Cup of Nations qualification,Cairo,Egypt,False,0.0,1.0,39.0,124.0,1490.34,1144.97,-85.0,81.5,345.3699999999999,0,-1.0,1
2023-03-24,Uganda,Tanzania,0.0,1.0,African Cup of Nations qualification,Ismailia,Egypt,True,0.0,0.0,89.0,130.0,1260.69,1119.89,-41.0,109.5,140.79999999999995,0,0.0,0
2023-03-24,Mali,The Gambia,2.0,0.0,African Cup of Nations qualification,Bamako,Mali,False,0.0,0.0,45.0,126.0,1449.05,1137.57,-81.0,85.5,311.48,0,0.0,1
2023-03-24,Cabo Verde,Eswatini,0.0,0.0,African Cup of Nations qualification,Praia,Cape Verde,False,0.0,0.0,72.0,143.0,1336.05,1070.89,-71.0,107.5,265.15999999999985,0,0.0,0
2023-03-25,Belarus,Switzerland,0.0,5.0,UEFA Euro qualification,Novi Sad,Serbia,True,0.0,0.0,97.0,12.0,1221.68,1655.02,85.0,54.5,-433.3399999999999,0,0.0,0
2023-03-25,Israel,Kosovo,1.0,1.0,UEFA Euro qualification,Tel Aviv,Israel,False,0.0,0.0,76.0,107.0,1315.67,1187.03,-31.0,91.5,128.6400000000001,0,0.0,0
2023-03-25,Andorra,Romania,0.0,2.0,UEFA Euro qualification,Andorra la Vella,Andorra,False,0.0,0.0,153.0,52.0,1031.13,1432.64,101.0,102.5,-401.51,0,0.0,0
2023-03-25,Martinique,Costa Rica,1.0,2.0,CONCACAF Nations League,Fort-de-France,Martinique,False,0.0,0.0,100.0,32.0,0.0,1500.18,68.0,66.0,-1500.18,0,0.0,0
