date,home_team,away_team,home_score,away_score,tournament,rank_diff,average_rank,point_diff,is_friendly,goals_rolling_diff,streak_diff,opp_rank_diff,target
2023-03-25,Indonesia,Burundi,3.0,1.0,Friendly,10.0,146.0,-41.36999999999989,1,2.0,1.6,125.4,1
2023-03-26,Northern Ireland,Finland,0.0,1.0,UEFA Euro qualification,3.0,57.5,-9.160000000000082,0,1.6666666666666667,3.0,161.0,0
2023-03-26,Cuba,Guadeloupe,1.0,0.0,CONCACAF Nations League,68.0,134.0,978.65,0,1.0,3.0,35.0,1
2023-03-26,Antigua and Barbuda,Barbados,1.0,2.0,CONCACAF Nations League,-35.0,148.5,134.74,0,0.0,2.3333333333333335,-71.33333333333334,0
2023-03-26,Mexico,Jamaica,2.0,2.0,CONCACAF Nations League,-49.0,39.5,256.49,0,2.0,2.5,35.0,0
2023-03-26,Slovakia,Bosnia and Herzegovina,2.0,0.0,UEFA Euro qualification,-3.0,55.5,22.069999999999936,0,-3.0,-2.0,29.0,1
2023-03-26,Puerto Rico,Cayman Islands,5.0,1.0,CONCACAF Nations League,-24.0,182.0,108.60000000000002,0,3.0,3.0,209.0,1
2023-03-26,Liechtenstein,Iceland,0.0,7.0,UEFA Euro qualification,135.0,130.5,-520.5099999999999,0,-0.6666666666666666,-0.3333333333333333,-54.0,0
2023-03-26,Kazakhstan,Denmark,3.0,2.0,UEFA Euro qualification,97.0,66.5,-445.02,0,-2.0,-3.0,6.0,1
2023-03-26,Luxembourg,Portugal,0.0,6.0,UEFA Euro qualification,83.0,50.5,-457.19000000000005,0,-4.0,-2.0,-144.0,0
2023-03-26,Malta,Italy,0.0,2.0,UEFA Euro qualification,159.0,87.5,-744.6099999999999,0,0.0,0.0,60.0,0
2023-03-26,England,Ukraine,2.0,0.0,UEFA Euro qualification,-21.0,15.5,237.20000000000005,0,2.0,3.0,8.0,1
2023-03-26,Lesotho,Zambia,0.0,2.0,African Cup of Nations qualification,59.0,117.5,-203.75,0,-2.0,-3.0,-59.0,0
2023-03-26,São Tomé and Príncipe,Sierra Leone,0.0,2.0,African Cup of Nations qualification,70.0,151.0,-252.13,0,0.0,0.0,-70.0,0
2023-03-26,Russia,Iraq,2.0,0.0,Friendly,-31.0,52.5,148.8699999999999,1,-1.4,-1.6,-58.599999999999994,1
2023-03-26,New Zealand,China PR,2.0,1.0,Friendly,25.0,92.5,-111.07999999999993,1,0.0,0.0,-25.0,1
2023-03-26,Macau,Singapore,0.0,1.0,Friendly,22.0,171.0,-84.0,1,-1.4,-1.6,-146.6,0
2023-03-26,Fiji,Solomon Islands,0.0,2.0,Friendly,27.0,149.5,-106.2700000000001,1,-1.0,-3.0,0.0,0
2023-03-26,Slovenia,San Marino,2.0,0.0,UEFA Euro qualification,-149.0,136.5,625.91,0,2.0,3.0,56.0,1
2023-03-27,Austria,Estonia,2.0,1.0,UEFA Euro qualification,-75.0,71.5,310.97,0,3.3333333333333335,1.6666666666666667,69.33333333333334,1
2023-03-27,Sweden,Azerbaijan,5.0,0.0,UEFA Euro qualification,-98.0,72.0,406.6300000000001,0,0.33333333333333326,2.0,7.0,1
2023-03-27,Hungary,Bulgaria,3.0,0.0,UEFA Euro qualification,-35.0,53.5,156.6199999999999,0,1.0,3.0,40.0,1
2023-03-27,United States,El Salvador,1.0,0.0,CONCACAF Nations League,26.0,87.0,-1326.86,0,2.6666666666666665,1.3333333333333333,-8.0,1
2023-03-27,Guatemala,French Guiana,4.0,0.0,CONCACAF Nations League,19.0,109.5,1157.56,0,0.5,1.0,-33.5,1
2023-03-27,Trinidad and Tobago,Nicaragua,1.0,1.0,CONCACAF Nations League,-38.0,123.0,123.54999999999995,0,-2.666666666666667,-0.6666666666666665,-67.66666666666667,0
2023-03-27,Dominican Republic,Belize,2.0,0.0,CONCACAF Nations League,-24.0,164.0,80.9799999999999,0,0.0,1.0,-19.0,1
2023-03-27,Moldova,Czechia,0.0,0.0,UEFA Euro qualification,136.0,106.0,-531.7299999999999,0,-2.0,-2.0,101.0,0
2023-03-27,St Kitts and Nevis,Aruba,2.0,0.0,CONCACAF Nations League,-62.0,171.0,221.54000000000008,0,3.0,3.0,100.0,1
2023-03-27,St Lucia,Dominica,3.0,1.0,CONCACAF Nations League,-12.0,178.0,53.22000000000003,0,1.3333333333333333,2.0,185.33333333333334,1
2023-03-27,St Vincent and the Grenadines,Bahamas,1.0,1.0,CONCACAF Nations League,-25.0,190.5,90.45000000000005,0,1.0,0.0,38.0,0
2023-03-27,Poland,Albania,1.0,0.0,UEFA Euro qualification,-44.0,44.0,206.79999999999995,0,1.0,0.0,38.0,1
2023-03-27,Montenegro,Serbia,0.0,2.0,UEFA Euro qualification,40.0,49.0,-187.30999999999995,0,-1.0,0.0,-51.0,0
2023-03-27,Republic of Ireland,France,0.0,1.0,UEFA Euro qualification,45.0,25.5,-384.8000000000002,0,-1.0,0.0,127.0,0
2023-03-27,Netherlands,Gibraltar,3.0,0.0,UEFA Euro qualification,-194.0,103.0,882.8800000000001,0,0.0,0.0,-48.0,1
2023-03-27,Chile,Paraguay,3.0,2.0,Friendly,-15.0,38.5,61.850000000000136,1,0.0,0.0,0.0,1
2023-03-27,North Macedonia,Faroe Islands,1.0,0.0,Friendly,-58.0,94.0,208.97000000000003,1,1.0,2.0,-7.0,1
2023-03-27,Oman,Lebanon,2.0,0.0,Friendly,-25.0,87.5,112.76999999999998,1,1.6,2.0,14.799999999999997,1
2023-03-27,Guinea-Bissau,Nigeria,0.0,1.0,African Cup of Nations qualification,83.0,76.5,-335.54999999999995,0,1.0,3.0,-83.0,0
2023-03-27,Greece,Lithuania,0.0,0.0,Friendly,-93.0,97.5,364.47,1,3.0,3.0,171.0,0
2023-03-27,Central African Republic,Madagascar,2.0,0.0,African Cup of Nations qualification,30.0,117.0,-83.76999999999998,0,3.0,3.0,-30.0,1
2023-03-27,Angola,Ghana,1.0,1.0,African Cup of Nations qualification,59.0,87.5,-241.21000000000004,0,-1.0,-3.0,-59.0,0
2023-03-27,Niger,Algeria,0.0,1.0,African Cup of Nations qualification,82.0,81.0,-338.19000000000005,0,-1.0,-3.0,-82.0,0
