date,home_team,away_team,rank_diff_inv,rating_diff,form_diff,h_inv_rank,h_squad_rating,h_recent_form,squad_rank_interaction,rating_delta_form,target
2023-01-09,Iraq,Saudi Arabia,-19.0,-2,-1.0,144.0,71,2.0,10224.0,-4.0,1
2023-01-09,Vietnam,Indonesia,55.0,0,0.0,116.0,70,2.2,8120.0,0.0,1
2023-01-10,United Arab Emirates,Kuwait,78.0,0,1.5,142.0,70,1.5,9940.0,0.0,0
2023-01-10,Qatar,Bahrain,25.0,2,0.0,152.0,72,3.0,10944.0,6.0,0
2023-01-10,Thailand,Malaysia,34.0,0,-0.3999999999999999,101.0,70,2.0,7070.0,0.0,1
2023-01-12,Finland,Estonia,53.0,0,-1.0,156.0,70,0.0,10920.0,0.0,0
2023-01-12,Sweden,Iceland,40.0,7,2.0,189.0,77,3.0,14553.0,21.0,1
2023-01-12,Iraq,Yemen,86.0,1,2.3333333333333335,144.0,71,2.3333333333333335,10224.0,2.3333333333333335,1
2023-01-12,Saudi Arabia,Oman,26.0,3,-1.0,163.0,73,1.5,11899.0,4.5,0
2023-01-13,Bahrain,Kuwait,63.0,0,2.0,127.0,70,3.0,8890.0,0.0,0
2023-01-13,Qatar,United Arab Emirates,10.0,2,0.5,152.0,72,1.5,10944.0,3.0,0
2023-01-13,Vietnam,Thailand,15.0,0,0.20000000000000018,116.0,70,2.2,8120.0,0.0,0
2023-01-16,Iraq,Qatar,-8.0,-1,1.1666666666666667,144.0,71,2.5,10224.0,-2.5,1
2023-01-16,Bahrain,Oman,-10.0,0,-0.2666666666666666,127.0,70,2.3333333333333335,8890.0,0.0,0
2023-01-16,Thailand,Vietnam,-15.0,0,-0.19999999999999996,101.0,70,1.6,7070.0,0.0,1
2023-01-19,Iraq,Oman,7.0,1,0.0,144.0,71,2.6,10224.0,2.6,1
2023-01-25,United States,Serbia,-71.0,1,0.0,112.0,78,1.0,8736.0,1.0,0
2023-01-28,United States,Colombia,-83.0,-2,-1.0,112.0,78,0.0,8736.0,-0.0,0
2023-02-22,Grenada,Barbados,-7.0,0,0.0,39.0,70,1.0,2730.0,0.0,0
2023-02-26,Grenada,Barbados,-7.0,0,0.0,39.0,70,1.0,2730.0,0.0,0
2023-03-03,Grenada,St Lucia,-1.0,0,0.0,39.0,70,1.0,2730.0,0.0,0
2023-03-04,Saint Barthélemy,Sint Maarten,0.0,0,0.0,112.0,70,1.0,7840.0,0.0,1
2023-03-05,Grenada,St Lucia,-1.0,0,-2.3333333333333335,39.0,70,0.6666666666666666,2730.0,0.0,1
2023-03-10,Saint Martin,Saint Barthélemy,0.0,0,-2.0,112.0,70,1.0,7840.0,0.0,1
2023-03-11,Jamaica,Trinidad and Tobago,40.0,0,0.0,148.0,70,1.0,10360.0,0.0,0
2023-03-12,Guatemala,Panama,-58.0,0,0.0,93.0,70,1.0,6510.0,0.0,0
2023-03-14,Jamaica,Trinidad and Tobago,40.0,0,-3.0,148.0,70,0.0,10360.0,0.0,0
2023-03-15,Bangladesh,Malawi,-68.0,0,0.0,20.0,70,1.0,1400.0,0.0,0
2023-03-19,Ethiopia,Rwanda,-1.0,0,0.0,74.0,70,1.0,5180.0,0.0,1
2023-03-20,Fiji,Vanuatu,1.0,0,0.0,49.0,70,1.0,3430.0,0.0,0
2023-03-21,Maldives,Pakistan,39.0,0,0.0,56.0,70,1.0,3920.0,0.0,1
2023-03-21,Tahiti,New Caledonia,-1.0,0,0.0,50.0,70,1.0,3500.0,0.0,0
2023-03-22,Honduras,El Salvador,-7.0,0,0.0,131.0,70,1.0,9170.0,0.0,1
2023-03-22,India,Myanmar,53.0,0,0.75,106.0,70,1.0,7420.0,0.0,1
2023-03-22,Nepal,Laos,12.0,0,0.75,37.0,70,1.0,2590.0,0.0,1
2023-03-22,Republic of Ireland,Latvia,85.0,0,0.0,164.0,70,1.0,11480.0,0.0,1
2023-03-22,Sierra Leone,São Tomé and Príncipe,70.0,0,0.0,96.0,70,1.0,6720.0,0.0,0
2023-03-22,Benin,Rwanda,46.0,0,1.0,121.0,70,1.0,8470.0,0.0,0
2023-03-23,Argentina,Panama,59.0,16,0.0,210.0,86,1.0,18060.0,16.0,1
2023-03-23,Hong Kong,Singapore,14.0,0,-0.75,66.0,70,1.0,4620.0,0.0,0
2023-03-23,Hungary,Estonia,73.0,6,-1.0,176.0,76,1.0,13376.0,6.0,1
2023-03-23,IR Iran,Russia,13.0,5,0.0,188.0,75,1.0,14100.0,5.0,0
2023-03-23,Malaysia,Turkmenistan,-10.0,0,0.8,67.0,70,1.8,4690.0,0.0,1
2023-03-23,New Zealand,China PR,-25.0,-1,0.0,107.0,69,1.0,7383.0,-1.0,0
2023-03-23,Solomon Islands,Vanuatu,28.0,0,-2.0,76.0,70,1.0,5320.0,0.0,1
2023-03-23,Madagascar,Central African Republic,30.0,0,0.0,110.0,70,1.0,7700.0,0.0,0
2023-03-23,Ghana,Angola,59.0,0,0.0,154.0,70,1.0,10780.0,0.0,1
2023-03-23,Algeria,Niger,82.0,6,0.0,172.0,76,1.0,13072.0,6.0,1
2023-03-23,Congo,South Sudan,66.0,0,0.0,113.0,70,1.0,7910.0,0.0,0
2023-03-23,Zambia,Lesotho,59.0,0,0.0,124.0,70,1.0,8680.0,0.0,1
